Ngày,Số chứng từ,Đơn hàng bán,Khách hàng,Diễn giải,Vật tư,Tên vật tư,Đơn vị tính 1,Só lượng (1),Số lượng (2),Đơn vị tính 2
6/1/2023,SIM06/23-001,,ANH MẠNH,Xuất bán phế bao mủ : 576kg *14.000 đ/kg ; bao taical : 293 kg * 7.500đ/kg ;  bao in : 492 kg * 12000d/kg,PHEBAOMU,Phế bao mủ,KG,576,576,KG
6/1/2023,SIM06/23-001,,ANH MẠNH,Xuất bán phế bao mủ : 576kg *14.000 đ/kg ; bao taical : 293 kg * 7.500đ/kg ;  bao in : 492 kg * 12000d/kg,PHE-BAOTAICAL,Phế thu hồi bao TAICAL khâu kéo sợi,KG,293,293,KG
6/1/2023,SIM06/23-001,,ANH MẠNH,Xuất bán phế bao mủ : 576kg *14.000 đ/kg ; bao taical : 293 kg * 7.500đ/kg ;  bao in : 492 kg * 12000d/kg,PHEIN,Phế bao in,KG,492,492,KG
6/1/2023,SIM06/23-003,SO2303-0044,LAHAD DATU FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023, số cont : WHLU0699202, seal : WHAA194515, INV 137",TPH073122TDLAH5,"Bao TP-PP, trắng đục, K73x122LL (+/-1), TL: 155g/cái (+/-5%), không in (5001491). [EK: 500cái/kiện, MK nhận dạng bên ngoài, bắn đai 6 ngang x 1 dọc]",CAI,75000,11156.8,KG
6/1/2023,SIM06/23-004,SO2304-0007,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),"XK cuộn ngày 01/06/2023 số cont: TGBU5509790, seal : YMAN635391, INV 138",0102109025000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 95.0g/m./HAPHAL560095TRDU",M,94577,8992.7,KG
6/1/2023,SIM06/23-004,SO2304-0008,Halston Polyfabs Ltd (BONA VENTURES PTE LTD),"XK cuộn ngày 01/06/2023 số cont: TGBU5509790, seal : YMAN635391, INV 138",0102109027000000,"Vải cuộn PP, trắng đục, hấp PE bên trong, K56.0cm, TL: 110.0g/m. [960-970D, 8.0x8.0, 30mic]/HAPHAL560110TRDU",M,152250,16694.8,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050049TDSAR.KFFL,"Bao TP-PP, trắng đục, K50x49LL (+/-1), TL: 45g/cái (+/-5%), MK: KFC FLOUR 11.35KG (5000175). (Có in tracking)  [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 3 ngang x 1 dọc]/TPH050049TDSAR.KFFL",CAI,6000,264.4,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.BBBIFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB BISCUIT FLOUR (5000005). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,5000,336.8,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.BBCRFL,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BB CRACKER FLOUR (5000006). (Có in tracking) [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,5000,337.1,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.BLHO,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE (5000037). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,6000,404.9,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.BLHOCK,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE CK (5000032). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,20000,1357.8,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.BLHOMS,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: BLUE HORSE MS (5000035). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,3000,205.9,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.GOHO,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: GOLDEN HORSE (5000136). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,20000,1357.7,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.GRNH,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: GRN H (5000141). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,15000,1022.2,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.LFM,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: LFM (5001579). (Có in tracking) [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,12000,809.2,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.PIHO,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: PINK HORSE (5000225). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,3000,203,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.REHOAA,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: RED HORSE AA (5000288). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,20000,1363.3,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.SBFM,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: SBFM (5000299). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,12000,813.7,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.SFM99,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: SFM 99 (5000307). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,15000,1021.2,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.SP,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: SP (5000313). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,4000,271.9,KG
6/1/2023,SIM06/23-005,SO2212-0021,SARAWAK FLOUR MILL SDN BHD,"Xuất bán ngày 01/06/2023,số cont : PCIU0058240, Seal : SF0308953,INV : 136",TPH050076TDSAR.YEHO,"Bao TP-PP, trắng đục, K50x76LL (+/-1), TL: 70g/cái (+/-5%), MK: YELLOW HORSE (5000350). (Có in tracking). [Tép 100cái cột dây cam, kiện 5 tép trở đầu, vải áo PP dệt xếp, có MK bên ngoài, đai 4 ngang x 1 dọc]",CAI,15000,1012.2,KG
6/3/2023,SIM06/23-006,SO2305-0039,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 03/06/2023,Xe 51C-67266",TPH050074G074INT.WHGL078,"Bao TP-PP, K50.0x74.0LL, TL: 74.0g/cái, MK: WHITE GLOBE 22.5KG - CODE 078 (2+0) (Mã KH: 5000470). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",CAI,5000,377.5,KG
6/3/2023,SIM06/23-006,SO2305-0039,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 03/06/2023,Xe 51C-67266",TPH050074G074INT.WHGL079,"Bao TP-PP, K50.0x74.0LL, TL: 74.0g/cái, MK: WHITE GLOBE 22.5KG - CODE 079 (2+0) (Mã KH: 5000470). [Tép 20 cái gấp 03, code ra ngoài. Bó = 05 tép. Dây cột màu trắng, cột 1 ngang x 1 dọc hình chữ thập]",CAI,5000,380,KG
6/3/2023,SIM06/23-006,SO2305-0042,CÔNG TY TNHH INTERFLOUR VIỆT NAM,"Xk bán hàng ngày 03/06/2023,Xe 51C-67266",TPH060085G102INT.WF28010,"Bao TP-PP, trắng tẩy, K60x85LL, TL: 102g/cái, MK: WHEAT FLOUR 28 - CODE 010 (1+0) [Mã: 5001348]. [Tép 20 cái gấp 3, code ra ngoài; Bó 5 tép, dây cột trắng, cột chữ thập]",Cái,5000,505,KG
